id;id_posto;data_hora;tipo_combustivel;preco_por_litro;volume_abastecido;cpf_motorista;improper_data
1;8500;2026-05-18T07:13:27;ETANOL;19758.31;15903.22;after;true
2;30910;2026-05-18T15:35:05;GASOLINA;13836.37;2367.2;agreement;false
3;13578;2026-05-18T02:19:28;ETANOL;27340.04;2999.88;ghost;true
4;8841;2026-05-18T16:52:11;GASOLINA;29767.23;5069.36;charming;true
5;19783;2026-05-18T17:43:17;ETANOL;11998.81;28002.62;why yet before;true
6;21270;2026-05-18T08:04:36;DIESEL;21728.54;2534.52;atop meanwhile chilly;true
7;21555;2026-05-18T21:47:10;DIESEL;4379.57;29180.16;near unit infinite;false
8;23902;2026-05-18T18:37:45;GASOLINA;9117.14;8802.42;lest;true
9;1494;2026-05-18T08:41:19;GASOLINA;18720.43;13530.11;with worthy gadzooks;false
10;17320;2026-05-18T15:54:30;GASOLINA;14029.63;14677.53;putrid;true
